Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
AENCHAINE,CODE,CODE+NUMLIG,No,
AENTREE,APE0,TRTSTD+OBJ+TRTSPE,No,
AESPION,ESPDAT,ESPDAT+ESPTIM,Yes,
AESPION,ESPUSR,ESPUSR+ESPDAT+ESPTIM,Yes,
AEXPV3,AEV0,CODE,No,
AEXPV3D,AED0,CODE+LIG,No,
AFCTCUR,AFU0,UID+FCT,No,
AFCTEXE,AFE0,USR+LIG,No,
AFCTFCT,AFT0,PRFCOD,No,
AFCTFCY,AFF0,FCY+PRFCOD+FNC,No,
AFCTFCY,AFF1,PRFCOD+FNC,Yes,
AFCTPRF,AFP0,PRFCOD+FNC+FCYGRU,No,
AFONCTION,CODINT,CODINT,No,
AFONCTION,CODEXT,CODEXT,No,
AFONCTION,MENU,MENU+RANG+CODINT,No,
AFONCTION,NUMFNC,NUMFNC,No,
AFONCTION,MODULE,MODULE+MENU+CODINT,No,
AFORDIM,AFO0,CODFIC,No,
AGDPRMAI,AGMAI0,NUMREQ,No,
AGDPRMAI,AGMAI1,MAICOD+TABCOD+TABFLD,No,
AGDPRPHONE,AGPHO0,NUMREQ,No,
AGDPRPHONE,AGPHO1,TELCOD+TABCOD+TABFLD,No,
AGDPRSETTING,AGS0,CODE,No,
AGDPRSETTING,AGS1,TYP+CODE,No,
AGDPRSETTING,AGS2,TYP+CODATY+CODATB+CODE,No,
AGDPRVCR,AGVCR0,UID+CODATY+CODFIC+CODE+VCRKEY,No,
AGDPRVCR,AGVCR1,UID+VCRKEY,Yes,
AGLOBVAR,AGB0,CODVAR,No,
AGLOBVAR,AGB1,TRTSTD+RANG+CODVAR,No,
AGLOBVAR,AGB2,PARAM+CODVAR,No,
AGRPCPY,AGC0,GRP+CPY,No,
AGRPCPY,AGC1,CPY+GRP,No,
AGRPFCY,AGF0,GRP,No,
AHISTO,AHI0,COD,No,
AHISTOD,AHD0,COD+LIG,No,
AINDEX,ANX0,LIG,No,
AINDEX,ANX1,TABLE+LIG,No,
AINDEX,ANX2,TABLE+CODIND,No,
AITRLNK,AIT0,CODLNK,No,
AJSAUDIT,,,,
AJSCONT,,,,
AJSEXCEPT,,,,
AJSSYNC,,,,
ALINK,ALI0,USRCOD+SRCOBJ+SRCKEY+DSTOBJ+DSTKEY,No,
ALISTEC,ALC0,COD,No,
ALISTED,ALD0,COD+LIG,No,
ALISTED,ALD1,COD+ORD,Yes,
ALISTEH,ALH0,COD,No,
ALISTEL,ALL0,COD+LNKORG+LNKDES,No,
ALISTER,ALR0,COD+USR+NIV+LIG+COL,No,
ALISTET,ALT0,COD+TBL,No,
ALNKSUB,ALB0,CRY+TYP+POS,No,
ALNKSUB,ALB1,COD+CRY+TYP,Yes,
ALOGIN,ALO0,BDDID+FLG,Yes,
ALOGIN,ALO1,SEQ,No,
ALOGIN,ALO2,ADOID,Yes,
ALSTRD,ALS0,USR+OBJ+LIG,No,
AMAINT,AMI0,COD,No,
AMEMO,AMM0,MEMO,No,
AMENLOC,MENLOC,MENLOC,No,
AMENUSER,CODMEN,CODPRF+NUMLIG,No,
AMENUSER,MENCOD,CODPRF+MENU+NUMLIG,No,
AMENUSER,MENFCT,CODPRF+FONCTION,Yes,
